,name,price
131,"TelefonmobilAppleiPhoneSE,16GB,4G,RoseGold",2.199
132,"TelefonmobilHuaweiY6IICompact,DualSIM,16GB,4G,White",649
133,"TelefonmobilAppleiPhone7Plus,32GB,RoseGold",4.119
134,"TelefonmobilAppleiPhone6s,32GB,RoseGold",2.999
135,"TelefonmobilAllviewP8eMagic,DualSIM,16GB,4G,Grey",899
136,"TelefonmobilAppleiPhone7,128GB,Gold",3.999
137,"TelefonmobilAppleiPhone7Plus,32GB,Gold",4.119
138,"TelefonmobilSamsungGalaxyS7,32GB,4G,WhitePearl",2.899
139,"TelefonmobilASUSZenFoneZoom,64GB,4G,PureBlack",2.569
140,"TelefonmobilAppleiPhone6s,32GB,SpaceGrey",2.999
141,"TelefonmobilLenovoVibeS1Lite,DualSIM,16GB,4G,Blue",1.049
142,"TelefonmobilLenovoVibeP1m,DualSIM,16GB,4G,White",769
143,"TelefonmobilVoninoJaxX,DualSIM,8GB,Black",389
144,"TelefonmobilLenovoK6Note,DualSim,32GB,4G,Silver",1.149
145,"TelefonmobilAppleiPhoneSE,16GB,4G,Silver",2.199
146,"TelefonmobilHuaweiY5II,DualSim,8GB,4G,White",539
147,"TelefonmobilAppleiPhone7Plus,128GB,RoseGold",4.649
148,"TelefonmobilAppleiPhone7,128GB,JetBlack",3.999
149,"TelefonmobilLenovoMotoG4Play,DualSim,16GB,4G,Black",799
150,"TelefonmobilAppleiPhone7,128GB,Silver",3.999
151,"TelefonmobilLenovoVibeS1Lite,DualSIM,16GB,4G,White",1.049
152,"TelefonmobilASUSZenFone3MaxZC520TL,DualSim,32GB,4G,Silver",999
153,"TelefonmobilAllviewV2ViperXe,DualSIM,16GB,4G,Blue",1.079
154,"TelefonmobilLenovoVibeAPlus,DualSIM,8GB,Black",349
155,"TelefonmobilAppleiPhoneSE,64GB,4G,Gold",2.499
156,"TelefonmobilAllviewX2SoulXtreme,DualSIM,64GB,4G,Gold",1.979
157,"TelefonmobilAllviewV2ViperXe,DualSIM,16GB,4G,Gold",1.079
158,"TelefonmobilAppleiPhone7,256GB,JetBlack",4.549
159,"TelefonmobilAppleiPhone7Plus,128GB,Gold",4.649
160,"TelefonmobilHuaweiP9,DualSim,32GB,4G,MysticSilver",2.299
161,"TelefonmobilHuaweiY6Pro,DualSim,16GB,4G,Gold",739
162,"TelefonmobilLGG4DualSim,32GB,4G,LeatherBlack",1.899
163,"TelefonmobilAppleiPhone7Plus,128GB,Silver",4.649
164,"TelefonmobilAppleiPhone6sPlus,32GB,SpaceGrey",3.499
165,"TelefonmobilASUSZenFone3MaxZC520TL,DualSim,32GB,4G,Gold",999
166,"TelefonmobilSamsungGalaxyS7,32GB,4G,Silver",2.899
167,"TelefonmobilLenovoK5,DualSIM,16GB,4G,Gray",889
168,"TelefonMobilCUBOTRainbow,DualSIM,5""HDIPS,Quad-Core,16GB,13MPx,LEDNotificare,Android6.0,Auriu",494
169,"TelefonmobilSamsungGalaxyS7Edge,32GB,4G,Silver",3.699
170,"TelefonmobilVoninoZunXS,DualSim,8GB,4G,Black",459
171,"TelefonmobilAppleiPhone7Plus,32GB,Silver",4.119
172,"TelefonmobilAllviewX2SoulStyle,DualSIM,16GB,4G,Blue",829
173,"TelefonmobilAppleiPhone7Plus,128GB,JetBlack",4.649
174,"TelefonmobilAppleiPhone6S,128GB,RoseGold",3.499
175,"TelefonmobilAllviewP9EnergyLite,DualSIM,32GB,4G,Gold",1.189
176,"TelefonmobilHonor8,DualSim,32GB,4G,SapphireBlue",1.899
177,"TelefonMobilXiaomiRedmi4Pro,3GBRAM,32GBROM,13MP,Snapdragon,DualSIM,Gold",949
178,"TelefonmobilUMILondon,3G,DualSIM,Quad-Core,8GB,8MPSony,Android6.0,Gold",590
179,"TelefonmobilVoninoZunXO,DualSIM,16GB,4G,Black",759
180,"TelefonmobilAllviewM7Stark,DualSIM,Black",109
181,"TelefonmobilNokia105New2015,Black",108
182,"TelefonmobilLenovoMotoG4Play,DualSim,16GB,4G,White",799
183,"TelefonmobilAllviewX3SoulStyle,DualSIM,32B,4G,Grey",1.189
184,"TelefonmobilHTCDesire10Lifestyle,16GB,4G,PolarWhite",1.399
185,"TelefonmobiliHunti1,3G,Dual-SIM,RadioFM,IP67,Negru",499
186,"TelefonmobilAllviewX3SoulLite,DualSIM,16GB,4G,Gold",899
187,"TelefonmobilSamsungGalaxyJ1MiniPrime,DualSim,8GB,Gold",480
188,"TelefonmobilPhonemaxMars,3G,DualSIM,Quad-Core,8GB,LEDNotificare,Android6.0,Gold",399
189,"TelefonmobilLenovoMotoZ,DualSim,32GB,4G,Black",2.999
190,"TelefonmobilUMIPlusE,4G,6GBRAM,64GB,DualSIM,Octa-CoreHelioP20,Android7.0,4000mAh,Black",1.982
191,"TelefonmobilLenovoVibeP1m,16GB,4G,Black",599
192,"TelefonmobilLenovoK5Plus,DualSIM,16GB,4G,Gold",989
193,"TelefonmobilBlubooMini,3G,DualSIM,Quad-Core,8GB,Android6.0,Red",499
194,"TelefonmobilAllviewX3SoulStyle,DualSIM,32B,4G,Gold",1.189
195,"TelefonmobilAllviewP8EnergyPro,DualSIM,64GB,4G,Gold",1.949
196,"TelefonmobilSamsungGalaxyJ7(2016),16GB,4G,Gold",1.376
197,"TelefonmobilAllviewP7Pro,DualSIM,16GB,4G,Grey",699
198,"TelefonmobilLGG4DualSim,32GB,4G,LeatherBrown",1.899
199,"TelefonmobilSamsungGalaxyJ5(2016),16GB,4G,Gold",1.069
200,"TelefonmobilNokia216,DualSim,Black",179
201,"TelefonmobilAllviewM9Jump,DualSim,Black",329
202,"TelefonmobilBlubooMaya,DualSIM,5.5-inchHD,Quad-Core,2GBRAM,16GB,13MP,3000mAh,Android6.0,Grey",725
203,"TelefonMobilCUBOTRainbow,DualSIM,5""HDIPS,Quad-Core,16GB,13MPx,LEDNotificare,Android6.0,Negru",494
204,"TelefonMobilCUBOTNoteS,DualSIM,5.5""HDIPS,16GB,8Mpx,4150mAh,Auriu,Android6.0",799
205,"TelefonmobilNokia222,Black",189
206,"TelefonmobilASUSZenFoneZoom,64GB,4G,CeramicWhite",2.569
207,"TelefonmobilSamsungG389Xcover3,8GB,4G,DarkSilver",899
208,"TelefonmobilSamsungN920GalaxyNote5,32GB,4G,Gold",3.399
209,"TelefonmobilHomTomHT20,4G,DualSIM,16GB,Android6.0,SenzorAmprenta,Verde",995
210,"TelefonmobilAppleiPhone7Plus,256GB,Black",5.149
211,"TelefonmobilAllviewP7Pro,DualSIM,16GB,4G,Gold",699
212,"TelefonmobilAllviewP9Energy,DualSIM,64GB,4G,DarkGold",1.899
213,"TelefonmobilAllviewP41Emagic,DualSIM,8GB,Black",329
214,"TelefonmobilAllviewX3SoulLite,DualSIM,16GB,4G,Grey",899
215,"TelefonMobilCUBOTNoteS,DualSIM,5.5""HDIPS,16GB,8Mpx,4150mAh,Negru,Android6.0",799
216,"TelefonmobilSamsungGalaxyA5(2016),DualSim,16GB,4G,White",1.599
217,"TelefonmobilLenovoK5Plus,DualSIM,16GB,4G,Silver",989
218,"TelefonmobilLenovoVibeCA2020,DualSIM,8GB,4G,Black",489
219,"TelefonmobilAppleiPhone6S,128GB,Silver",3.499
220,"TelefonmobilAllviewP9Energy,DualSIM,64GB,4G,Gold",1.899
221,"TelefonmobilNokia230,DarkSilver",289
222,"TelefonmobilAlcatel1016,VolcanoBlack",95
223,"TelefonmobilAppleiPhone7Plus,256GB,JetBlack",5.149
224,"TelefonmobilPhonemaxQ5,DualSIM,Quad-Core,8GB,Android6.0,Black",525
225,"TelefonmobilBlackviewBV6000,4G+,DualSIM,4.7-inchHD,Octa-CoreHelioP10,3GBRAM,32GB,13MP,4500mAh,Android6.0,Negru,IP68",1.599
226,"TelefonmobilAllviewH3Join,Black",219
227,"TelefonmobilVoninoJaxS,DualSim,8GB,Grey",349
228,"TelefonmobilSamsungGalaxyJ3,8GB,4G,Gold",679
229,"TelefonmobilVoninoXyloX,DualSIM,8GB,DarkBlue",249
230,"TelefonmobilAppleiPhone6S,128GB,Gold",3.499
231,"TelefonmobilLenovoVibeC2,DualSIM,8GB,4G,Black",649
232,"TelefonmobilSamsungGalaxyJ3,8GB,4G,Black",829
233,"TelefonmobilMicrosoft435Lumia,DualSIM,8Gb,Black",349
234,"TelefonmobilASUSZenFoneGoZB500KL,DualSim,16GB,4G,Blue",699
235,"TelefonmobilSamsungGALAXYS6,32GB,4G,Black",2.099
236,"XiaomiRedmi4A,2GBRAM,16GBROM,13MP,Snapdragon,DualSIM,RoseGold",649
237,"TelefonmobilHomTomHT20,4G,DualSIM,16GB,Android6.0,SenzorAmprenta,Negru",995
238,"TelefonmobilSamsungGalaxyA7(2016),DualSim,16GB,4G,Black",2.079
239,"TelefonmobilSonyXperiaXCompact,32GB,4G,White",2.199
240,"TelefonmobilAppleiPhone7,256GB,Black",4.549
241,"TelefonmobilAllviewP6Plus,DualSIM,8GB,Brown",439
242,"TelefonmobilAppleiPhone7Plus,256GB,Gold",5.149
243,"TelefonmobilAllviewP8EnergyPro,DualSIM,64GB,4G,White",1.949
244,"TelefonmobilBlackviewA8,DualSIM,Quad-Core,5-inchHD,8GB,8MP,Black,Android5.1(includeHusasilicon)",550
245,"TelefonmobilZTEBladeV7Lite,DualSim,8GB,4G,Gold",699
246,"TelefonmobilAllviewX3SoulStyle,DualSIM,32B,4G,LatteGold",1.189
247,"TelefonMobilBlubooMayaDualSIM,3G,5.5""HDJDI(GorillaGlass3),4Core1.3GHz,2GB+16GB,13MPxSONY,Auriu+BONUS:HusaSiliconsiFolieSticla",792
248,"TelefonmobilLenovoK5,DualSIM,16GB,4G,Silver",889
249,"TelefonmobilXiaomiRedmi4,DualSIM,16GB,4G,Gold",749
250,"TelefonmobilUMILondon,3G,DualSIM,5-inchHD,Quad-Core,1GBRAM,8GB,8MPSony,Android6.0,JetBlack",590
251,"TelefonmobilUTOKQ40,DualSIM,8GB,Black",259
252,"TelefonmobilLenovoA6010,DualSIM,8GB,4G,Red",549
